variant,task_i,task_j,cosine_similarity
wo_atr,Internal Medicine,Internal Medicine,1.000000238418579
wo_atr,Internal Medicine,Surgery,0.8887485861778259
wo_atr,Internal Medicine,Pediatrics,0.9142851829528809
wo_atr,Internal Medicine,Gynecology and Obstetrics,0.841439962387085
wo_atr,Internal Medicine,Andrology,0.8352074027061462
wo_atr,Internal Medicine,Oncology,0.8987085819244385
wo_atr,Surgery,Internal Medicine,0.8887485861778259
wo_atr,Surgery,Surgery,1.0000001192092896
wo_atr,Surgery,Pediatrics,0.8584308624267578
wo_atr,Surgery,Gynecology and Obstetrics,0.8505251407623291
wo_atr,Surgery,Andrology,0.8469159603118896
wo_atr,Surgery,Oncology,0.8897298574447632
wo_atr,Pediatrics,Internal Medicine,0.9142851829528809
wo_atr,Pediatrics,Surgery,0.8584309220314026
wo_atr,Pediatrics,Pediatrics,1.0
wo_atr,Pediatrics,Gynecology and Obstetrics,0.8480856418609619
wo_atr,Pediatrics,Andrology,0.8249923586845398
wo_atr,Pediatrics,Oncology,0.8764239549636841
wo_atr,Gynecology and Obstetrics,Internal Medicine,0.841439962387085
wo_atr,Gynecology and Obstetrics,Surgery,0.8505251407623291
wo_atr,Gynecology and Obstetrics,Pediatrics,0.8480857610702515
wo_atr,Gynecology and Obstetrics,Gynecology and Obstetrics,1.0
wo_atr,Gynecology and Obstetrics,Andrology,0.8891169428825378
wo_atr,Gynecology and Obstetrics,Oncology,0.837462306022644
wo_atr,Andrology,Internal Medicine,0.8352074027061462
wo_atr,Andrology,Surgery,0.8469159603118896
wo_atr,Andrology,Pediatrics,0.824992299079895
wo_atr,Andrology,Gynecology and Obstetrics,0.8891169428825378
wo_atr,Andrology,Andrology,0.9999997615814209
wo_atr,Andrology,Oncology,0.8482556343078613
wo_atr,Oncology,Internal Medicine,0.8987085223197937
wo_atr,Oncology,Surgery,0.8897298574447632
wo_atr,Oncology,Pediatrics,0.8764239549636841
wo_atr,Oncology,Gynecology and Obstetrics,0.8374623656272888
wo_atr,Oncology,Andrology,0.8482555747032166
wo_atr,Oncology,Oncology,1.000000238418579
norm_only,Internal Medicine,Internal Medicine,0.9999996423721313
norm_only,Internal Medicine,Surgery,0.8889658451080322
norm_only,Internal Medicine,Pediatrics,0.9144964218139648
norm_only,Internal Medicine,Gynecology and Obstetrics,0.8418951034545898
norm_only,Internal Medicine,Andrology,0.8357189893722534
norm_only,Internal Medicine,Oncology,0.8988133668899536
norm_only,Surgery,Internal Medicine,0.8889658451080322
norm_only,Surgery,Surgery,0.9999998211860657
norm_only,Surgery,Pediatrics,0.8590046167373657
norm_only,Surgery,Gynecology and Obstetrics,0.851061224937439
norm_only,Surgery,Andrology,0.8474913835525513
norm_only,Surgery,Oncology,0.8900554180145264
norm_only,Pediatrics,Internal Medicine,0.9144963622093201
norm_only,Pediatrics,Surgery,0.8590046763420105
norm_only,Pediatrics,Pediatrics,1.000000238418579
norm_only,Pediatrics,Gynecology and Obstetrics,0.8484536409378052
norm_only,Pediatrics,Andrology,0.8254984617233276
norm_only,Pediatrics,Oncology,0.8767577409744263
norm_only,Gynecology and Obstetrics,Internal Medicine,0.8418951034545898
norm_only,Gynecology and Obstetrics,Surgery,0.851061224937439
norm_only,Gynecology and Obstetrics,Pediatrics,0.8484536409378052
norm_only,Gynecology and Obstetrics,Gynecology and Obstetrics,1.0
